id,full_name,email,city,signup_date,phone
1736,Hıfzullah Tartış Akça Yorulmaz,@domain.com,  Antalya ,16.02.2024,0 262 084 6729
1232,Burcuhan Permun Akça Karadeniz,necdatdemir@example.net,BURSA,31.01.2025,0 632 123 4764
1400,Sevcan Yılmaz Soylu,xsafak@example.org,Konya,05.12.2022,1205943897
1996,Ergün Gül,raslan@example.org,istanbul,12.10.2021,(423) 300-8056
1616,  Abdülkerim Boynak Bilge   ,zinonu@example.net,Ankara,03.01.2026,(071) 732-7980
1559,  Alize Mansız   ,durgadin44@example.org,BURSA,13.06.2021,9340153641
1635,Öğr. Emine. Ürper Şafak Gülen,ustun33@example.com,  Istanbul ,06.06.2021,+907221425731
1209,Vafir Gül,nakca@example.org,Ankara,16.03.2023,5701658046
1689,  Karcan Sezgin   ,ogurata16@example.org,KONYA,02.08.2021,(880) 273-0427
1442,Bay Toy İhsanoğlu,hgul@example.com,antalya,09.11.2021,(264) 712-4633
1017,Öğr. Işın İnönü Yüksel,gulder73@example.com,IZMIR,12.08.2023,(658) 760-3669
1444,Canseven Fehmiye Tevetoğlu Arsoy,araldemirel@example.org,bursa,13.12.2023,0 295 786 7181
2024,  Çev. Akgüneş Zubeyde Zengin   ,yilmazmenguc@example.net,antalya,19.08.2021,5979531926
1362,Sidki Nebih İhsanoğlu Çamurcuoğlu,serda00@example.com,ADANA,09.07.2023,9918724010
1764,Okt. Berrin Şendoğan Erdoğan,csener@example.net,  Istanbul ,14/03/2024,+909185805581
1899,Prof. Şide Durmuş,gecersiz_email,ISTANBUL,28.09.2025,(471) 883-0099
1005,  Teber Gençay Karadeniz Şener   ,goksevarsoy@example.org,Adana,10.02.2024,2782489638
1751,Arş. Gör. Oğulbaş Zoral Öcalan,sevla30@example.net,Izmir,23.02.2022,+909016492815
1964,Öğr. Günkurt Abdülkerim Türk,feremeztevetoglu@example.net,  Bursa ,29.06.2021,4042316979
1279,  Doç. Seracettin Sakarya   ,csezer@example.org,  Izmir ,03.11.2025,0 672 438 0701
1754,Enginiz Mansız,ertasbaris@example.net,  Istanbul ,14.03.2025,00120424253
1867,Abid Özbilek Akça,msener@example.org,ISTANBUL,12.02.2026,(144) 695-6740
1205,Baturay Fırat,mansizyilmaz@example.net,  Antalya ,14.12.2023,5970108220
1761,Tayyip Ermutlu Durmuş Akçay,kyaman@example.net,Antalya,08.01.2026,01869572404
1270,Akmaral Beray Ergül Yıldırım,mancosecme@example.com,Adana,21.05.2022,+902410261534
1504,Melikkan Çorlu,gunkurtmansiz@example.com,Ankara,26.02.2026,07769366343
1777,Dirican Durdu,qarslan@example.org,Ankara,05.05.2022,+908520232091
1115,Yrd. Doç. Bitül Gülenay Dumanlı,uzerkoruturk@example.com,Adana,32/13/2023,(030) 705-3457
1904,Bilkay Sezgin,abdulkadirinonu@example.com,  Istanbul ,17.08.2024,0 444 394 6896
1772,Aliabbas Taşar Demirel,iturk@example.com,ANTALYA,27.02.2023,01808189655
1415,Ergener İnönü,rtevetoglu@example.com,ANKARA,27.07.2024,0 705 877 2216
1571,,ncorlu@example.net,Konya,19.05.2024,+902019111661
1775,  Yrd. Doç. Günver Gökten Dumanlı   ,barak64@example.net,Adana,20.02.2025,+909365618335
1845,Karaer Demir,zerafet07@example.org,Konya,06.06.2022,0 706 363 2863
1058,Okt. Yankı Bilgin,gulbani41@example.com,KONYA,24.05.2022,01094396907
1942,  Av. Ufukay Boğatimur Kısakürek   ,sernur56@example.com,  Ankara ,27.06.2024,(342) 519-7018
ABC1465,  Arş. Gör. Oktüremiş Übeydullah Bilir   ,asoylu@example.com,IZMIR,27.07.2024,+907107563353
1541,Uygun Ertaş,hayrioglumazlum@example.org,  Antalya ,06.03.2026,08293844013
